Source,SampleID,Age,ForkLength
CDFW,1,9,77.00
CDFW,3,6,83.00
CDFW,4,8,73.00
CDFW,6,7,76.00
CDFW,7,8,84.00
CDFW,8,10,79.00
CDFW,10,7,76.00
CDFW,11,9,88.00
CDFW,12,8,81.00
CDFW,13,8,98.00
CDFW,14,7,94.00
CDFW,15,9,83.00
CDFW,16,8,81.00
CDFW,17,9,83.00
CDFW,18,4,70.00
CDFW,19,8,73.00
CDFW,20,4,67.00
CDFW,21,7,93.00
CDFW,22,7,82.00
CDFW,23,7,86.00
CDFW,24,8,91.00
CDFW,25,8,82.00
CDFW,26,8,73.00
CDFW,27,9,77.00
CDFW,28,10,91.00
CDFW,29,9,79.00
CDFW,30,8,78.00
CDFW,31,8,69.00
CDFW,32,7,93.00
CDFW,33,7,75.00
CDFW,34,8,90.00
CDFW,36,4,55.00
CDFW,37,8,87.00
CDFW,38,8,89.00
CDFW,39,7,79.00
CDFW,40,4,55.00
CDFW,41,8,75.00
CDFW,42,9,74.00
CDFW,43,7,78.00
CDFW,44,6,78.00
CDFW,45,8,77.00
CDFW,46,8,87.00
CDFW,47,8,77.00
CDFW,48,4,59.00
CDFW,49,8,86.00
CDFW,50,8,68.00
CDFW,51,10,99.00
CDFW,53,6,75.00
CDFW,54,8,85.00
CDFW,55,9,87.00
CDFW,56,4,63.00
CDFW,57,8,85.00
CDFW,58,8,85.00
CDFW,59,8,80.00
CDFW,60,4,69.00
CDFW,61,8,81.00
CDFW,62,5,67.00
CDFW,63,7,83.00
CDFW,64,4,78.00
CDFW,65,8,76.00
CDFW,66,6,69.00
CDFW,67,5,66.00
CDFW,68,9,78.00
CDFW,69,8,87.00
CDFW,70,8,81.00
CDFW,71,4,62.00
CDFW,73,7,83.00
CDFW,74,7,75.00
CDFW,75,11,85.00
CDFW,76,8,81.00
CDFW,77,7,80.00
CDFW,78,7,65.00
CDFW,79,9,84.00
CDFW,80,8,84.00
CDFW,81,4,61.00
CDFW,82,7,82.00
CDFW,83,8,86.00
CDFW,84,9,84.00
CDFW,85,8,80.00
CDFW,86,8,74.00
CDFW,87,4,58.00
CDFW,88,4,62.00
CDFW,89,4,60.00
CDFW,90,4,60.00
CDFW,91,8,74.00
CDFW,92,8,74.00
CDFW,93,7,80.00
CDFW,94,7,82.00
CDFW,95,8,71.00
CDFW,96,8,84.00
CDFW,97,3,55.00
CDFW,98,4,65.00
CDFW,99,6,73.00
CDFW,100,7,88.00
CDFW,101,4,67.00
CDFW,102,4,55.00
CDFW,103,4,56.00
CDFW,104,4,63.00
CDFW,105,8,72.00
CDFW,107,8,71.00
CDFW,108,10,88.00
CDFW,109,4,70.00
CDFW,110,4,70.00
CDFW,111,4,62.00
CDFW,112,9,71.00
CDFW,1B,8,86.00
CDFW,3B,4,68.00
CDFW,4B,4,69.00
CDFW,5B,8,87.00
CDFW,6B,8,80.00
CDFW,7B,8,75.00
CDFW,9B,8,74.00
CDFW,10B,9,82.00
CDFW,11B,4,63.00
CDFW,12B,4,67.00
CDFW,13B,4,63.00
CDFW,14B,4,73.00
CDFW,15B,8,69.00
CDFW,16B,7,72.00
CDFW,17B,8,92.00
CDFW,18B,8,70.00
CDFW,19B,4,60.00
CDFW,21B,4,61.00
CDFW,22B,4,70.00
CDFW,23B,4,64.00
CDFW,24B,8,72.00
CDFW,25B,4,62.00
CDFW,26B,4,58.00
DERBY,1D,10,121.50
DERBY,2D,13,120.50
DERBY,4D,15,134.50
DERBY,5D,8,123.50
DERBY,6D,14,139.36
DERBY,7D,13,132.80
DERBY,8D,13,134.20
DERBY,9D,12,127.30
DERBY,11D,12,130.80
DERBY,13D,14,133.60
DERBY,14D,14,132.70
DERBY,15D,18,142.80
DERBY,17D,14,132.00
DERBY,18D,15,142.00
DERBY,19D,12,141.00
DERBY,20D,14,133.00
DERBY,24D,14,139.00
DERBY,25D,16,131.70
DERBY,26D,16,129.00
DERBY,27D,15,139.00
DERBY,28D,15,137.00
DERBY,29D,20,137.00
